name,ico,address,city,nace,source
"INFRA SOFTWARE, s.r.o.",08738041,"Borského 989/1, Hlubočepy, 15200 Praha 5",Prague,62,ares
ElzaSoft Software Development s.r.o.,08772924,"Korunní 2569/108, Vinohrady, 10100 Praha 10",Prague,62,ares
Pantegy Software s.r.o.,08841489,"č.p. 142, 68333 Mouchnice",Prague,62,ares
Redixis Software s.r.o.,08852201,"Korunní 2569/108, Vinohrady, 10100 Praha 10",Prague,62,ares
Handshake Software s.r.o.,08885681,"Hamerská 629/48, Holice, 77900 Olomouc",Prague,62,ares
Mundus Software s.r.o.,08898146,"Zlínská 1329/12, Slatina, 62700 Brno",Prague,62,ares
REDBAIT Software House s.r.o.,08922756,"Cyrilská 508/7, Trnitá, 60200 Brno",Prague,62,ares
Easy Software Group SE,08939586,"Jugoslávských partyzánů 736/34, Bubeneč, 16000 Praha 6",Prague,62,ares
"DigiLabs Software, s.r.o.",08950334,"Botanická 834/56, Veveří, 60200 Brno",Prague,62,ares
Legální software s.r.o.,08978611,"Růžová 947/8, Nové Město, 11000 Praha 1",Prague,62,ares
Lionheart software s.r.o.,08986991,"Rybná 716/24, Staré Město, 11000 Praha 1",Prague,62,ares
Software Labs s.r.o.,08989770,"Blatnická 4219/4, Židenice, 62800 Brno",Prague,62,ares
Helya software s.r.o.,09000224,"Komenského sady 1642, 67602 Moravské Budějovice",Prague,62,ares
Software data retention s.r.o.,09074007,"M. Škardové 28, 33214 Chotěšov",Prague,62,ares
DENEB Software s.r.o.,09082301,"Chalabalova 1600/27, Stodůlky, 15500 Praha 5",Prague,62,ares
EKO5 software s.r.o.,09201785,"č.p. 14, 39501 Důl",Prague,62,ares
"Software Heroes, s.r.o.",09221581,"Nové sady 988/2, Staré Brno, 60200 Brno",Prague,62,ares
Aurio Software s.r.o.,09229337,"Placzkova 544/9, Trnitá, 60200 Brno",Prague,62,ares
Navixo software s.r.o.,09244727,"V parku 2335/20, Chodov, 14800 Praha 4",Prague,62,ares
"QB Software, s.r.o.",09324372,"č.p. 19, 67962 Prostřední Poříčí",Prague,62,ares
"NDT Software, s.r.o.",09382852,"Korunní 2569/108, Vinohrady, 10100 Praha 10",Prague,62,ares
Skynet Software Prague s.r.o.,09398490,"Lindleyova 2822/10, Dejvice, 16000 Praha 6",Prague,62,ares
"Maticon software, s.r.o.",09444505,"V Záhorském 492, Dolní Počernice, 19012 Praha 9",Prague,62,ares
ISIT SOFTWARE CZ s.r.o.,09453741,"Příkop 843/4, Zábrdovice, 60200 Brno",Prague,62,ares
M42 software s.r.o.,09463399,"Novosedly 30, 27041 Hřebečníky",Prague,62,ares
SOFTWARE DEVELOPMENT STUDIO  s.r.o. v likvidaci,09469214,"Lužická 1586/18, Vinohrady, 12000 Praha 2",Prague,62,ares
Software Concept s.r.o.,09497013,"Rybná 716/24, Staré Město, 11000 Praha 1",Prague,62,ares
GlobalCordon Software s.r.o.,09540679,"Petržílkova 2704/34, Stodůlky, 15800 Praha 5",Prague,62,ares
Software management s.r.o.,09593799,"Hamerská 629/48, Holice, 77900 Olomouc",Prague,62,ares
PREMIUM SOFTWARE SERVICES LTD. - pobočka,09624694,"U družstva Práce 1738/102, Braník, 14000 Praha 4",Prague,62,ares
Cyber Dynamics software s.r.o. v likvidaci,09631836,"Jičínská 226/17, Žižkov, 13000 Praha 3",Prague,62,ares
"Good Software, s.r.o.",09632093,"Srázná 5113/1, 58601 Jihlava",Prague,62,ares
Marketing a software s.r.o.,09677178,"Nové sady 988/2, Staré Brno, 60200 Brno",Prague,62,ares
"Easy Business Software, s.r.o.",09688218,"Vojtěšská 211/6, Nové Město, 11000 Praha 1",Prague,62,ares
Software Theatre s.r.o.,09698337,"Jaurisova 515/4, Michle, 14000 Praha 4",Prague,62,ares
"GrouweApps Software, s.r.o.",09765751,"Dobrušská 1797/1, Braník, 14700 Praha 4",Prague,62,ares
PAMORA SOFTWARE s.r.o.,09799605,"Lidická 700/19, Veveří, 60200 Brno",Prague,62,ares
DCore Software s.r.o.,09801138,"Holušická 2221/3, Chodov, 14800 Praha 4",Prague,62,ares
Genesis Software s.r.o.,09859608,"Školská 689/20, Nové Město, 11000 Praha 1",Prague,62,ares
PGE software s.r.o.,09880372,"Chroustov 73, 59214 Bohdalov",Prague,62,ares
SW8 Software engineering s.r.o.,09897828,"Bělehradská 858/23, Vinohrady, 12000 Praha 2",Prague,62,ares
Accountable Software Solutions s.r.o.,09901191,"Karolíny Světlé 1360/22, Podlesí, 73601 Havířov",Prague,62,ares
Mach software s.r.o.,09927867,"Křenova 253/4, Veleslavín, 16200 Praha 6",Prague,62,ares
A.T.P. Software s.r.o.,10666702,"Domažlická 1505/4, Žižkov, 13000 Praha 3",Prague,62,ares
BPMN software & service s.r.o.,10697128,"Nové sady 988/2, Staré Brno, 60200 Brno",Prague,62,ares
Netera Software Developments s.r.o.,10718303,"Varšavská 715/36, Vinohrady, 12000 Praha 2",Prague,62,ares
"GLOB Software, s.r.o.",10722530,"Pláničkova 443/5, Veleslavín, 16200 Praha 6",Prague,62,ares
Asterion Software s.r.o.,10736697,"Bělehradská 858/23, Vinohrady, 12000 Praha 2",Prague,62,ares
"Malvina Software, s.r.o.",10746498,"Kloboučnická 1735/26, Nusle, 14000 Praha 4",Prague,62,ares
Workoholio software s.r.o.,10765981,"Nové sady 988/2, Staré Brno, 60200 Brno",Prague,62,ares
"CCFR SOFTWARE, s.r.o.",10780548,"Jana Babáka 2733/11, Královo Pole, 61200 Brno",Prague,62,ares
Banking Software Development a.s.,10853570,"Opletalova 1417/25, Nové Město, 11000 Praha 1",Prague,62,ares
Todet software s.r.o.,10860541,"Zenklova 24/54, Libeň, 18000 Praha 8",Prague,62,ares
Metio Software s.r.o.,10932968,"Kaprova 42/14, Staré Město, 11000 Praha 1",Prague,62,ares
TOTAM Software s.r.o.,11651717,"Dobrovského 874/29, Přívoz, 70200 Ostrava",Prague,62,ares
Quick Software s.r.o.,11739266,"Varšavská 715/36, Vinohrady, 12000 Praha 2",Prague,62,ares
EDUinfo software s.r.o.,11751100,"Bradského 1295, Rakovník II, 26901 Rakovník",Prague,62,ares
CzechLite Software s.r.o.,11774924,"Cyrila Boudy 1444, Kročehlavy, 27201 Kladno",Prague,62,ares
WEXWAY software spol. s r.o.,11808900,"Rybná 716/24, Staré Město, 11000 Praha 1",Prague,62,ares
COMPUTEVO SOFTWARE s.r.o.,11833530,"Rybná 716/24, Staré Město, 11000 Praha 1",Prague,62,ares
"Qameta Software s.r.o., v likvidaci",11839899,"Malešická 2855/2b, Žižkov, 13000 Praha 3",Prague,62,ares
NOMAD Software s.r.o.,11854626,"Holečkova 103/31, Smíchov, 15000 Praha 5",Prague,62,ares
Ing. Vladimír Ducháček,12190799,"č.p. 118, 67905 Bukovina",Prague,62,ares
"Václav Švára, BM software &  hardware",12286923,"Sasanková 888, 25091 Zeleneč",Prague,62,ares
Software KD s.r.o.,14021030,"Antala Staška 511/40, Krč, 14000 Praha 4",Prague,62,ares
SPS software s.r.o.,14042312,"Růžová 5363, 43004 Chomutov",Prague,62,ares
Global software development s.r.o.,14073021,"Na bahnech 574/21, Čakovice, 19600 Praha 9",Prague,62,ares
LinDev software s.r.o.,14119901,"Vojanova 1020/14, Nová Ulice, 77900 Olomouc",Prague,62,ares
"Charlie Monroe Software, s.r.o.",14145847,"Borečnice č.ev. 54, 39701 Čížová",Prague,62,ares
MyOne Software s.r.o.,14179865,"Kardinála Bauera 1584, 75701 Valašské Meziříčí",Prague,62,ares
Bookkeepo software s.r.o.,14201569,"Branická 213/53, Braník, 14700 Praha 4",Prague,62,ares
Educational software for english a.s.,14208296,"Zenklova 24/54, Libeň, 18000 Praha 8",Prague,62,ares
software business s.r.o.,14225191,"Jaurisova 515/4, Michle, 14000 Praha 4",Prague,62,ares
G-Track Software s.r.o.,14237890,"Dagmar Burešové 2923/1, Žižkov, 13000 Praha 3",Prague,62,ares
Roto software s.r.o.,14239035,"Ženíškova 360/6, 25092 Šestajovice",Prague,62,ares
RM Software s.r.o.,14246619,"Radiová 1431/2a, Hostivař, 10200 Praha 10",Prague,62,ares
Ananas Software s.r.o.,14247747,"Příčná 1892/4, Nové Město, 11000 Praha 1",Prague,62,ares
Decentree Software s.r.o. - v likvidaci,14263211,"Nové sady 988/2, Staré Brno, 60200 Brno",Prague,62,ares
"CODEMY SOFTWARE, s.r.o.",14436949,"Nové sady 988/2, Staré Brno, 60200 Brno",Prague,62,ares
