name,website,size,industry,city,address,phone,product_jobs,design_jobs,ux_jobs,source,notes
Centrum architektury a městského plánování,,,,Prague,,,0,0,0,google_maps,
Zednicheck - Tvorba webových stránek a AI chatbotů,,,,Prague,,,0,0,0,google_maps,
"ESN VSE Prague, z. s.",,,,Prague,,,0,0,0,google_maps,
Edumatch.ai,,,,Prague,,,0,0,0,google_maps,
"NPC Solutions, s.r.o.",,,,Prague,,,0,0,0,google_maps,
Konopný Koutek CBD/THC-X/THC-A.I./E8H/FTS,,,,Prague,,,0,0,0,google_maps,
"Happy House Rentals, s.r.o.",,,,Prague,,,0,0,0,google_maps,
ADECCO Praha,,,,Prague,,,0,0,0,google_maps,
Kronium.cz,,,,Prague,,,0,0,0,google_maps,
AI STARTUP CLUB,,,,Prague,,,0,0,0,google_maps,
Carlsbad Hat Co. - Tradiční kloboučnictví - Traditional Hat Shop,,,,Prague,,,0,0,0,google_maps,
Zlata Lod Art Supplies,,,,Prague,,,0,0,0,google_maps,
Dazbog.AI,,,,Prague,,,0,0,0,google_maps,
"ORO-Praha-nejvyšší výkupní ceny zlata, stříbra. Prodej zlatých Investičních slitků - Váš partner od roku 2012",,,,Prague,,,0,0,0,google_maps,
KOH-I-NOOR Hardtmuth Trade,,,,Prague,,,0,0,0,google_maps,
ROPID - Pražská integrovaná doprava,,,,Prague,,,0,0,0,google_maps,
HUDYsport Praha Slezská,,,,Prague,,,0,0,0,google_maps,
Taiyaki Bar,,,,Prague,,,0,0,0,google_maps,
Food & Lounge by Shi-Shi,,,,Prague,,,0,0,0,google_maps,
Metalshop Megastore Praha,,,,Prague,,,0,0,0,google_maps,
